category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height
identity,"[0, 1, 1, 0, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",29,Female,1,Prolific,9,5,3,6,5,210d5c663bb145af.jpg,OpenImages,"[[45, 416, 270, 159], [300, 241, 259, 153], [16, 247, 263, 151], [4, 14, 472, 224]]",Others,UK,612.0,612.0
Object 0,"[1, 0, 0, 0, 0, 0]",5,"[0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0]",47,Male,2,CrowdWorks,4,8,5,7,3,1ca7214feb50012a.jpg,OpenImages,"[[684, 578, 339, 108]]",Others,Japan,1024.0,686.0
dog,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 1, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",33,Male,1,CrowdWorks,4,4,6,8,8,110395.jpg,LVIS,"[[78, 92, 343, 353]]",Pet,Japan,500.0,500.0
Human face,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",33,Male,0,Prolific,4,7,7,10,8,5e74fe7ee822521e.jpg,OpenImages,[],Person,UK,1024.0,768.0
curtain,"[0, 1, 0, 0, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",19,Female,0,Prolific,5,8,5,6,7,153666.jpg,LVIS,"[[175, 411, 40, 81], [217, 414, 35, 71], [130, 300, 27, 23], [359, 334, 20, 16]]",Others,UK,427.0,640.0
flowerpot,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",19,Female,0,Prolific,5,8,5,6,7,153666.jpg,LVIS,"[[182, 483, 9, 5], [148, 500, 10, 13], [213, 504, 10, 7], [171, 524, 24, 8], [242, 503, 9, 5], [161, 525, 10, 8], [356, 519, 15, 8], [138, 526, 10, 7], [292, 511, 17, 16], [200, 505, 5, 6], [169, 483, 7, 5], [117, 526, 10, 6], [272, 502, 4, 5], [77, 528, 30, 4], [204, 507, 11, 4], [407, 517, 14, 6]]",Others,UK,427.0,640.0
flowerpot,"[0, 1, 1, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",59,Female,2,Prolific,8,5,5,3,10,153666.jpg,LVIS,"[[182, 483, 9, 5], [148, 500, 10, 13], [213, 504, 10, 7], [171, 524, 24, 8], [242, 503, 9, 5], [161, 525, 10, 8], [356, 519, 15, 8], [138, 526, 10, 7], [292, 511, 17, 16], [200, 505, 5, 6], [169, 483, 7, 5], [117, 526, 10, 6], [272, 502, 4, 5], [77, 528, 30, 4], [204, 507, 11, 4], [407, 517, 14, 6]]",Others,UK,427.0,640.0
laptop_computer,"[0, 1, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",44,Female,0,CrowdWorks,6,6,6,7,5,143186.jpg,LVIS,"[[23, 0, 273, 246]]",Screen,Japan,500.0,400.0
laptop_computer,"[1, 0, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",42,Female,1,CrowdWorks,4,3,5,10,8,143186.jpg,LVIS,"[[23, 0, 273, 246]]",Screen,Japan,500.0,400.0
binder,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Male,0,Prolific,5,8,7,7,7,143186.jpg,LVIS,"[[350, 120, 149, 209]]",Others,UK,500.0,400.0
laptop_computer,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Male,0,Prolific,5,8,7,7,7,143186.jpg,LVIS,"[[23, 0, 273, 246]]",Screen,UK,500.0,400.0
binder,"[1, 0, 0, 0, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",43,Female,2,Prolific,9,8,6,4,7,143186.jpg,LVIS,"[[350, 120, 149, 209]]",Others,UK,500.0,400.0
laptop_computer,"[0, 0, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",43,Female,2,Prolific,9,8,6,4,7,143186.jpg,LVIS,"[[23, 0, 273, 246]]",Screen,UK,500.0,400.0
Person,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",42,Male,1,CrowdWorks,2,2,2,7,6,0b3445eeb72b3803.jpg,OpenImages,"[[391, 182, 9, 10], [391, 244, 12, 13], [395, 199, 13, 15], [395, 264, 13, 16], [407, 252, 10, 19], [410, 185, 7, 21], [418, 173, 9, 19], [419, 240, 7, 15], [422, 194, 7, 10], [422, 259, 7, 12], [436, 175, 10, 19], [436, 240, 12, 21], [436, 264, 9, 12], [437, 199, 7, 13], [445, 194, 13, 18], [447, 262, 13, 16], [450, 176, 12, 13], [453, 237, 9, 16]]",Others,Japan,1024.0,683.0
Person,"[0, 0, 0, 0, 1, 0]",2,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",30,Female,2,CrowdWorks,9,5,7,7,9,0b3445eeb72b3803.jpg,OpenImages,"[[391, 182, 9, 10], [391, 244, 12, 13], [395, 199, 13, 15], [395, 264, 13, 16], [407, 252, 10, 19], [410, 185, 7, 21], [418, 173, 9, 19], [419, 240, 7, 15], [422, 194, 7, 10], [422, 259, 7, 12], [436, 175, 10, 19], [436, 240, 12, 21], [436, 264, 9, 12], [437, 199, 7, 13], [445, 194, 13, 18], [447, 262, 13, 16], [450, 176, 12, 13], [453, 237, 9, 16]]",Others,Japan,1024.0,683.0
Person,"[1, 0, 0, 0, 1, 0]",1,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,Male,3,Prolific,4,8,5,4,10,0b3445eeb72b3803.jpg,OpenImages,"[[391, 182, 9, 10], [391, 244, 12, 13], [395, 199, 13, 15], [395, 264, 13, 16], [407, 252, 10, 19], [410, 185, 7, 21], [418, 173, 9, 19], [419, 240, 7, 15], [422, 194, 7, 10], [422, 259, 7, 12], [436, 175, 10, 19], [436, 240, 12, 21], [436, 264, 9, 12], [437, 199, 7, 13], [445, 194, 13, 18], [447, 262, 13, 16], [450, 176, 12, 13], [453, 237, 9, 16]]",Others,UK,1024.0,683.0
Building,"[0, 1, 0, 0, 0, 0]",3,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",42,Male,3,Prolific,4,8,5,4,10,0b3445eeb72b3803.jpg,OpenImages,"[[0, 0, 1022, 681]]",Others,UK,1024.0,683.0
backpack,"[0, 0, 0, 1, 0, 0]",3,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",29,Other,1,CrowdWorks,2,6,2,10,5,119604.jpg,LVIS,"[[357, 311, 44, 81], [148, 319, 28, 60], [284, 317, 14, 63]]",Others,Japan,640.0,480.0
license_plate,"[1, 0, 0, 0, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Other,1,CrowdWorks,2,6,2,10,5,119604.jpg,LVIS,"[[621, 390, 18, 16]]",Vehicle Plate,Japan,640.0,480.0
license_plate,"[1, 1, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,1,CrowdWorks,5,7,5,6,8,119604.jpg,LVIS,"[[621, 390, 18, 16]]",Vehicle Plate,Japan,640.0,480.0
traffic_light,"[0, 1, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,1,CrowdWorks,5,7,5,6,8,119604.jpg,LVIS,"[[73, 297, 5, 4], [184, 216, 10, 21], [87, 280, 3, 5], [96, 282, 2, 4], [236, 218, 9, 19], [79, 286, 3, 7]]",Place Identifier,Japan,640.0,480.0
Human body,"[1, 0, 0, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,Male,1,CrowdWorks,5,7,7,7,6,484dd70be82c3092.jpg,OpenImages,"[[305, 116, 469, 563]]",Person,Japan,1024.0,683.0
Man,"[1, 0, 0, 0, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,Male,1,CrowdWorks,5,7,7,7,6,484dd70be82c3092.jpg,OpenImages,"[[300, 111, 475, 568]]",Person,Japan,1024.0,683.0
Clothing,"[0, 0, 0, 0, 1, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",52,Male,1,CrowdWorks,5,7,5,9,6,484dd70be82c3092.jpg,OpenImages,"[[308, 250, 409, 429]]",Clothing,Japan,1024.0,683.0
Human body,"[1, 0, 0, 1, 1, 0]",5,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",52,Male,1,CrowdWorks,5,7,5,9,6,484dd70be82c3092.jpg,OpenImages,"[[305, 116, 469, 563]]",Person,Japan,1024.0,683.0
Man,"[1, 0, 0, 1, 1, 0]",5,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",52,Male,1,CrowdWorks,5,7,5,9,6,484dd70be82c3092.jpg,OpenImages,"[[300, 111, 475, 568]]",Person,Japan,1024.0,683.0
Clothing,"[1, 0, 1, 0, 0, 0]",3,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",34,Female,1,Prolific,4,6,4,10,7,484dd70be82c3092.jpg,OpenImages,"[[308, 250, 409, 429]]",Clothing,UK,1024.0,683.0
Human body,"[1, 0, 0, 0, 0, 0]",3,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",34,Female,1,Prolific,4,6,4,10,7,484dd70be82c3092.jpg,OpenImages,"[[305, 116, 469, 563]]",Person,UK,1024.0,683.0
Woman,"[1, 0, 0, 0, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,0,CrowdWorks,3,5,5,8,8,d8fbeafad402da5b.jpg,OpenImages,"[[721, 338, 300, 343]]",Person,Japan,1024.0,683.0
Woman,"[0, 1, 1, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",50,Female,1,Prolific,2,2,6,10,10,d8fbeafad402da5b.jpg,OpenImages,"[[721, 338, 300, 343]]",Person,UK,1024.0,683.0
Human face,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",25,Female,1,CrowdWorks,3,4,8,8,10,01c79b8cc239037d.jpg,OpenImages,"[[516, 111, 216, 278]]",Person,Japan,1024.0,768.0
Human face,"[1, 0, 0, 0, 0, 0]",1,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",43,Male,2,CrowdWorks,2,4,3,9,5,01c79b8cc239037d.jpg,OpenImages,"[[516, 111, 216, 278]]",Person,Japan,1024.0,768.0
person,"[1, 1, 0, 0, 0, 0]",2,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Female,1,CrowdWorks,3,7,6,8,8,113282.jpg,LVIS,"[[51, 259, 84, 210], [263, 281, 21, 49], [213, 285, 52, 137], [310, 247, 104, 337], [95, 254, 121, 215], [423, 283, 32, 125], [198, 279, 35, 119], [219, 277, 18, 27], [274, 282, 30, 105], [253, 282, 18, 47], [401, 283, 28, 100], [339, 282, 19, 17], [185, 281, 15, 21], [458, 254, 106, 355], [281, 286, 10, 23], [271, 270, 72, 288]]",Person,Japan,640.0,640.0
person,"[1, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",23,Male,0,Prolific,5,9,7,6,6,113282.jpg,LVIS,"[[51, 259, 84, 210], [263, 281, 21, 49], [213, 285, 52, 137], [310, 247, 104, 337], [95, 254, 121, 215], [423, 283, 32, 125], [198, 279, 35, 119], [219, 277, 18, 27], [274, 282, 30, 105], [253, 282, 18, 47], [401, 283, 28, 100], [339, 282, 19, 17], [185, 281, 15, 21], [458, 254, 106, 355], [281, 286, 10, 23], [271, 270, 72, 288]]",Person,UK,640.0,640.0
box,"[0, 1, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",20,Female,2,CrowdWorks,3,4,2,6,10,128512.jpg,LVIS,"[[427, 154, 25, 20], [449, 141, 16, 14], [497, 156, 18, 21], [451, 154, 26, 21], [590, 132, 41, 28], [506, 143, 18, 17], [474, 141, 18, 17], [417, 140, 10, 17], [490, 142, 19, 17], [444, 120, 18, 21], [445, 124, 8, 24]]",Others,Japan,640.0,480.0
suitcase,"[0, 1, 0, 1, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",20,Female,2,CrowdWorks,3,4,2,6,10,128512.jpg,LVIS,"[[147, 134, 36, 20], [0, 396, 160, 82], [359, 136, 7, 19], [402, 5, 218, 474], [365, 137, 21, 19], [330, 137, 27, 38], [462, 135, 15, 19], [177, 208, 227, 269], [298, 145, 32, 9]]",Others,Japan,640.0,480.0
Object 0,"[0, 1, 0, 0, 0, 0]",0,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",20,Female,2,CrowdWorks,3,4,2,6,10,128512.jpg,LVIS,"[[35, 33, 343, 155]]",Others,Japan,640.0,480.0
Poster,"[0, 1, 0, 1, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",33,Female,3,CrowdWorks,5,7,7,10,9,19b9a87786eb4c85.jpg,OpenImages,"[[222, 468, 108, 81], [227, 108, 609, 356], [708, 460, 102, 81]]",Others,Japan,1024.0,768.0
Poster,"[0, 1, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,2,CrowdWorks,4,5,5,9,8,19b9a87786eb4c85.jpg,OpenImages,"[[222, 468, 108, 81], [227, 108, 609, 356], [708, 460, 102, 81]]",Others,Japan,1024.0,768.0
Human face,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,2,4,3,10,9,032518c7e3660911.jpg,OpenImages,"[[96, 132, 22, 27], [211, 116, 36, 67], [264, 145, 30, 36], [318, 144, 28, 39], [424, 153, 32, 46], [433, 75, 35, 39], [734, 137, 33, 48], [747, 259, 28, 49]]",Person,Japan,1024.0,768.0
Person,"[1, 1, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,2,4,3,10,9,032518c7e3660911.jpg,OpenImages,"[[0, 57, 1024, 524]]",Others,Japan,1024.0,768.0
Man,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Female,1,CrowdWorks,2,4,3,10,9,032518c7e3660911.jpg,OpenImages,"[[78, 121, 64, 121], [132, 89, 204, 491], [387, 60, 132, 228], [686, 113, 131, 256], [868, 137, 115, 257]]",Person,Japan,1024.0,768.0
Human face,"[1, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",54,Male,2,CrowdWorks,6,5,8,4,8,032518c7e3660911.jpg,OpenImages,"[[96, 132, 22, 27], [211, 116, 36, 67], [264, 145, 30, 36], [318, 144, 28, 39], [424, 153, 32, 46], [433, 75, 35, 39], [734, 137, 33, 48], [747, 259, 28, 49]]",Person,Japan,1024.0,768.0
Person,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",54,Male,2,CrowdWorks,6,5,8,4,8,032518c7e3660911.jpg,OpenImages,"[[0, 57, 1024, 524]]",Others,Japan,1024.0,768.0
Man,"[0, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",54,Male,2,CrowdWorks,6,5,8,4,8,032518c7e3660911.jpg,OpenImages,"[[78, 121, 64, 121], [132, 89, 204, 491], [387, 60, 132, 228], [686, 113, 131, 256], [868, 137, 115, 257]]",Person,Japan,1024.0,768.0
Human hair,"[1, 0, 0, 0, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Male,1,Prolific,6,4,8,8,7,032518c7e3660911.jpg,OpenImages,"[[184, 89, 64, 60], [267, 134, 38, 92], [302, 132, 41, 94], [310, 110, 36, 22], [419, 140, 43, 30], [428, 57, 41, 30], [537, 145, 49, 51], [729, 120, 48, 36], [745, 243, 67, 55], [835, 161, 28, 22], [926, 137, 25, 32]]",Person,UK,1024.0,768.0
Person,"[0, 0, 1, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Male,1,Prolific,6,4,8,8,7,032518c7e3660911.jpg,OpenImages,"[[0, 57, 1024, 524]]",Others,UK,1024.0,768.0
Human hair,"[0, 1, 0, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",26,Male,1,Prolific,7,8,6,4,6,032518c7e3660911.jpg,OpenImages,"[[184, 89, 64, 60], [267, 134, 38, 92], [302, 132, 41, 94], [310, 110, 36, 22], [419, 140, 43, 30], [428, 57, 41, 30], [537, 145, 49, 51], [729, 120, 48, 36], [745, 243, 67, 55], [835, 161, 28, 22], [926, 137, 25, 32]]",Person,UK,1024.0,768.0
Person,"[1, 0, 0, 0, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",26,Male,1,Prolific,7,8,6,4,6,032518c7e3660911.jpg,OpenImages,"[[0, 57, 1024, 524]]",Others,UK,1024.0,768.0
Man,"[1, 0, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",26,Male,1,Prolific,7,8,6,4,6,032518c7e3660911.jpg,OpenImages,"[[78, 121, 64, 121], [132, 89, 204, 491], [387, 60, 132, 228], [686, 113, 131, 256], [868, 137, 115, 257]]",Person,UK,1024.0,768.0
identity,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",49,Female,1,CrowdWorks,4,3,5,10,6,06b2b8e64225b6ac.jpg,OpenImages,"[[1, 0, 451, 319]]",Others,Japan,800.0,321.0
identity,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",40,Male,2,CrowdWorks,8,5,9,5,8,06b2b8e64225b6ac.jpg,OpenImages,"[[1, 0, 451, 319]]",Others,Japan,800.0,321.0
teddy_bear,"[0, 0, 1, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",47,Other,1,Prolific,9,8,10,4,10,15930.jpg,LVIS,"[[123, 142, 240, 253]]",Others,UK,480.0,640.0
Object 0,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",29,Female,1,CrowdWorks,5,5,2,10,5,150874.jpg,LVIS,"[[203, 97, 111, 118]]",Others,Japan,640.0,353.0
Object 0,"[0, 1, 0, 0, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",48,Female,2,CrowdWorks,6,6,9,6,8,150874.jpg,LVIS,"[[203, 97, 111, 118]]",Others,Japan,640.0,353.0
monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 1, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,1,CrowdWorks,5,7,5,6,8,387098.jpg,LVIS,"[[237, 14, 235, 167], [43, 30, 197, 189], [283, 183, 147, 105]]",Screen,Japan,640.0,480.0
monitor_(computer_equipment) computer_monitor,"[1, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Other,1,CrowdWorks,2,6,2,10,5,387098.jpg,LVIS,"[[237, 14, 235, 167], [43, 30, 197, 189], [283, 183, 147, 105]]",Screen,Japan,640.0,480.0
monitor_(computer_equipment) computer_monitor,"[1, 0, 0, 0, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",47,Male,1,Prolific,6,7,10,6,8,387098.jpg,LVIS,"[[237, 14, 235, 167], [43, 30, 197, 189], [283, 183, 147, 105]]",Screen,UK,640.0,480.0
monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 0, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Female,3,Prolific,8,10,7,9,10,387098.jpg,LVIS,"[[237, 14, 235, 167], [43, 30, 197, 189], [283, 183, 147, 105]]",Screen,UK,640.0,480.0
Book,"[1, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",55,Male,1,CrowdWorks,7,6,7,4,7,2a4a981209d491b5.jpg,OpenImages,"[[16, 294, 1007, 208], [357, 474, 558, 163]]",Book,Japan,1024.0,684.0
identity,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",46,Male,0,CrowdWorks,3,5,8,6,7,1ef56c389d343cf2.jpg,OpenImages,"[[23, 22, 978, 617]]",Others,Japan,1024.0,707.0
identity,"[1, 0, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Male,1,CrowdWorks,6,3,7,6,5,1ef56c389d343cf2.jpg,OpenImages,"[[23, 22, 978, 617]]",Others,Japan,1024.0,707.0
identity,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Female,1,Prolific,6,6,7,7,7,1ef56c389d343cf2.jpg,OpenImages,"[[23, 22, 978, 617]]",Others,UK,1024.0,707.0
identity,"[1, 0, 0, 0, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",29,Other,1,Prolific,2,5,6,9,9,1ef56c389d343cf2.jpg,OpenImages,"[[23, 22, 978, 617]]",Others,UK,1024.0,707.0
calendar,"[0, 0, 0, 1, 0, 0]",2,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",44,Male,0,CrowdWorks,5,5,7,5,5,125821.jpg,LVIS,"[[15, 223, 99, 76]]",Printed Material,Japan,480.0,640.0
calendar,"[0, 0, 1, 1, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",28,Female,1,CrowdWorks,3,6,6,9,6,125821.jpg,LVIS,"[[15, 223, 99, 76]]",Printed Material,Japan,480.0,640.0
calendar,"[1, 0, 0, 1, 1, 1]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",31,Male,0,Prolific,6,10,9,2,9,125821.jpg,LVIS,"[[15, 223, 99, 76]]",Printed Material,UK,480.0,640.0
calendar,"[0, 0, 1, 1, 1, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",53,Female,3,Prolific,6,9,10,6,10,125821.jpg,LVIS,"[[15, 223, 99, 76]]",Printed Material,UK,480.0,640.0
Human face,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",23,Male,2,CrowdWorks,5,8,8,5,6,683307758eb4fd7c.jpg,OpenImages,"[[257, 172, 96, 140]]",Person,Japan,1024.0,682.0
Poster,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",23,Male,2,CrowdWorks,5,8,8,5,6,683307758eb4fd7c.jpg,OpenImages,"[[0, 0, 180, 682], [383, 239, 119, 442], [494, 7, 411, 674]]",Others,Japan,1024.0,682.0
Person,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",23,Male,2,CrowdWorks,5,8,8,5,6,683307758eb4fd7c.jpg,OpenImages,"[[143, 147, 461, 534]]",Others,Japan,1024.0,682.0
Human nose,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",23,Male,2,CrowdWorks,5,8,8,5,6,683307758eb4fd7c.jpg,OpenImages,"[[265, 224, 27, 27]]",Person,Japan,1024.0,682.0
Clothing,"[0, 0, 0, 1, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,2,CrowdWorks,5,8,8,5,6,683307758eb4fd7c.jpg,OpenImages,"[[211, 324, 321, 357]]",Clothing,Japan,1024.0,682.0
Human body,"[0, 0, 1, 0, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,2,CrowdWorks,5,8,8,5,6,683307758eb4fd7c.jpg,OpenImages,"[[147, 155, 458, 525]]",Person,Japan,1024.0,682.0
Human face,"[1, 0, 1, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",45,Male,0,Prolific,5,9,7,5,6,683307758eb4fd7c.jpg,OpenImages,"[[257, 172, 96, 140]]",Person,UK,1024.0,682.0
Person,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",45,Male,0,Prolific,5,9,7,5,6,683307758eb4fd7c.jpg,OpenImages,"[[143, 147, 461, 534]]",Others,UK,1024.0,682.0
Human body,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",45,Male,0,Prolific,5,9,7,5,6,683307758eb4fd7c.jpg,OpenImages,"[[147, 155, 458, 525]]",Person,UK,1024.0,682.0
Object 0,"[1, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,0,CrowdWorks,8,5,9,7,3,290959.jpg,LVIS,"[[82, 96, 499, 172]]",Others,Japan,640.0,498.0
Object 1,"[0, 0, 0, 0, 1, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",38,Female,0,CrowdWorks,8,5,9,7,3,290959.jpg,LVIS,"[[59, 91, 103, 100]]",Others,Japan,640.0,498.0
